Dish,Review,Ease of cooking,Taste,Versatility,Generic
Chicken Piccata ,Served with mashed potatoes done with a bit of thyme and garlic - delicious!,0.5,1,1,0.5
Chicken Piccata ,Solid recipe. I like to serve over wilted fresh spinach.,0.5,0.5,1,1
Chicken Piccata ,"Made this recipe using boneless, skinless chicken thighs. I recommend trying it. The recipe is faultless.",0.5,0.5,1,1
Chicken Piccata ,"Great recipe! One tip I’ve found really helpful when cooking chicken is using a timer to ensure it’s perfectly cooked—especially when multitasking in the kitchen. I often rely on an online timer at www.5mintimer.com while roasting or grilling to avoid overcooking. It’s simple, quick, and keeps me on track. Thanks again for the fantastic guide!",0.5,0.5,0.5,1
Chicken Piccata ,"Delicious! Steps were impeccable. Served alongside a dramatic black & white striped squid ink farfalle, warmed diced tomatoes topped with lemon caper sauce. Guests raved over flavor, color, texture. Green salad and crusty bread completed the meal. Great recipe!",0.5,1,1,1
Chicken Piccata ,Definitely the ticket!! Making this tonight!😋,0.5,0.5,0.5,0.5
Chicken Piccata ,Excellent! Have been making it for dinner with friends. Everyone loves it. We serve it with lemon pasta. So delicious!,0.5,1,1,1
Chicken Piccata ,The best part of this recipe is the bang for the buck! Short mis en place time and easy cooking for any age or level of expertise. The finished product has tartness under the sweetness of the creamy sauce that is delectable atop mashed potatoes. Easy peasy! And um…YUM!,1,1,1,1
Chicken Piccata ,Definitely will add this to our regular line-up. Made it last night per the recipe and it was outstanding and a new favourite for the family.,0.5,1,0.5,1
Chicken Piccata ,This was great! I did what the other person suggested - I put this over plain linguini and it was perfect. Served with a side of roasted asparagus as well! This would be a great simple meal to serve guests - it looks beautiful. Will make again.,1,0.5,1,1
Chicken Piccata ,"I made it exactly as written, except for cutting the recipe in half since there were just two of us. It was absolutely wonderful, served with fresh linguine and asparagus. The only thing I will change is to go lightly with the salt on the chicken before flouring it. The sauce has plenty of salt so just a pinch on each side will be enough. This is definitely going on the rotation for weeknight dinners. ",0.5,1,1,1
Chicken Piccata ,It was delicious!,0.5,1,0.5,0.5
Chicken Piccata ,My chicken picatta go to recipe. I coat my chicken in lupin flour instead to make it gluten free. ,0.5,0.5,1,1
Chicken Piccata ,easy and delicious! ,1,1,0.5,0.5
Chicken Piccata ,"This recipe is on our monthly rotation, a definite family favorite meal. It’s easy to make and always turns out great. I don’t put the chicken back into the sauce but serve it on buttered and parselyed tagliatelle and pour the sauce over. It makes a beautiful presentation and is fancy enough for company. ",1,0.5,1,1
Chicken Piccata ,Great recipe! Gonna definitely try this out on weekends! Kudos,0.5,0.5,0.5,1
Fresh Pasta with Buttered Tomatoes,"I didn't do a good job on the pasta, but the sauce is phenomenal. So simple, so amazing, so flavourful.",1,1,0.5,1
Easy pasta salad,This dish was a crowd and family favorite! I am definitely adding this to our regular summer potluck rotation.,0.5,0.5,0.5,1
Easy pasta salad,"Just so dang delicious! Perfect to make during our hot summer days. The spicy tang from the peppers is a nice surprise. Not heavy at all, no mayo and easy to add lots of extra crunch veggies if one wants more veggies.",0.5,1,1,1
Easy pasta salad,Very good recipe. Enjoyed.,0.5,0.5,0.5,1
Easy pasta salad,This is an excellent recipe that would appeal to many at a potluck or cookout. The veggies can be changed out for ones you have on hand like diced cucumber is especially good for crunch. The dressing is outstanding and vibrant and fresh with the lemon zest and juice. I used just 2 T grated parmigiana which was plenty. I used mild banana peppers. I also used mini pearls of mozzarella which was quick and easy. This recipe is wonderful and tasty. The dressing is exactly what you want it to be.,1,1,1,1
Easy pasta salad,"This pasta salad is delicious! It is light and refreshing. I did cut the recipe in half as I wanted to test it before I serve it at a BBQ. Even half made a ton of salad. I made the recipe verbatim, except added a tiny bit more EVOO, used only yellow squash and herbs from my garden. My only regret is I bought mild pickled banana peppers. Next time I will get the hot peppers. Do not hesitate to serve this at your picnics. It is wonderful!",0.5,1,1,1
Easy pasta salad,"Super yummy! Making this again and again, I'm sure.",0.5,1,0.5,1
Easy pasta salad,I really like adding a can of chickpeas to this!,0.5,1,1,0.5
Easy pasta salad,This pasta salad is AMAZING!! Perfect for any summer gathering. It is bright and colourful and so fresh and lite! This is a new summer staple for me!,0.5,1,0.5,1
Easy pasta salad,This is one of my go-to pasta salads (I already randomly made a version of this before I even saw it). I also add pesto for even more brightness.,0.5,0.5,1,1
Easy pasta salad,Could I make this happily without the cheese?,0.5,0.5,0.5,0.5
